r,N,K,relL2_projection
3,128,64,0.010769987904584532
3,192,96,0.0067618066260227
3,256,128,0.004484857793994576
3,384,192,0.0026439887235586625
3,512,256,0.0018292059046864327
3,768,384,0.0010816549121585644
3,1024,512,0.000744868756307267
3,1536,768,0.0004401518435191806
3,2048,1024,0.0003029747569578466
3,4096,2048,0.00012310109616246856
5,128,64,0.01922238894357487
5,192,96,0.012350363978847548
5,256,128,0.00857521781726076
5,384,192,0.0052604858721755545
5,512,256,0.0037830531206067145
5,768,384,0.002386142000667476
5,1024,512,0.0016964257113916974
5,1536,768,0.0010590373612817039
5,2048,1024,0.0007573728824150854
5,4096,2048,0.00033676155721232076
