r,Nm,dim,max_abs_Re,omega1,omega2,omega3
3,6,12,9.397430750235358e-15,2.1841489538563015,10.121878728467433,26.376718424898733
3,8,16,9.492406860545088e-15,2.199903819642391,10.109298841548162,25.746499190515742
3,10,20,2.1260770921571748e-14,2.210398481314087,10.130693306406336,25.661647703514497
3,12,24,4.7658886453733236e-14,2.217487593240165,10.152632021389648,25.67927682796463
3,16,32,9.103828801926284e-14,2.226599006897147,10.183904905339988,25.759680343369897
3,20,40,5.689893001203927e-14,2.2321564992595397,10.202407188754865,25.82839836438665
3,24,48,1.3156142841808105e-13,2.23555136134141,10.214141554522975,25.876252637558515
5,6,12,9.782105681033215e-15,4.100452486698912,18.99487588531139,47.2180947711782
5,8,16,1.6725336393630386e-14,4.22053850866237,19.70988103932999,49.59630112900475
5,10,20,2.4729025251135628e-14,4.282167311754422,20.06989950226544,50.93169199821856
5,12,24,7.105419226084708e-14,4.318056420773124,20.271789821549582,51.72823900786062
5,16,32,1.7053025658242404e-13,4.358236666573883,20.47053131620157,52.58849956626349
5,20,40,2.6910396654089563e-13,4.380174273255303,20.557047446606393,53.020111135443166
5,24,48,4.547473508864641e-13,4.392904614527071,20.60200602510001,53.260761076349965
